date,state,city,race,gender,type,url
4/10/2020,New York,New York City,korean,,vandalism,https://ny.eater.com/2020/4/13/21218921/jeju-noodle-bar-racist-graffiti-harrasment-coronavirus-nyc
4/8/2020,Texas,Houston,vietnamese,female,verbal abuse,https://abc13.com/woman-unleashes-racist-rant-at-vietnamese-woman/6088094/
4/5/2020,California,San Marcos,asian,female,verbal abuse,https://www.fox16.com/news/asian-americans-report-more-racist-confrontations-due-to-covid-19-blame/
4/3/2020,Connecticut,Seymour,chinese,male,verbal abuse,https://valley.newhavenindependent.org/archives/entry/update_racist_death_threats_lodged_against_seymour_restaurant/
4/3/2020,Connecticut,Seymour,chinese,female,verbal abuse,https://valley.newhavenindependent.org/archives/entry/update_racist_death_threats_lodged_against_seymour_restaurant/
3/30/2020,Washington,Yakima,chinese,male,vandalism,https://www.yaktrinews.com/take-the-corona-back-you-yakima-police-investigate-racist-graffiti-at-asian-buffet/
3/29/2020,New York,Bronx,asian,female,verbal abuse,https://nypost.com/2020/03/29/hate-spewing-teens-yell-you-caused-coronavirus-b-h-at-asian-woman/
3/28/2020,Illinois,Evanston,chinese,female,vandalism,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/28/2020,New York,New York City,chinese,female,verbal abuse,https://nextshark.com/youre-the-virus-couple-allegedly-threaten-to-kick-fashion-designer-and-her-dogs-in-nyc/
3/27/2020,Texas,San Angelo,korean,male,vandalism,https://sanangelolive.com/news/crime/2020-04-03/report-coronavirus-poster-prank-led-armed-confrontation-dorm-room-angelo-state
3/27/2020,California,Cerritos,korean,female,verbal abuse ,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/27/2020,Indiana,Martinsville,korean,man,verbal abuse,https://www.wishtv.com/news/multicultural-issues/central-indiana-man-says-worker-kicked-him-out-of-gas-station-because-hes-asian/
3/27/2020,Illinois,Evanston,chinese,,vandalism,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/27/2020,North Carolina,Asheville,chinese,female,verbal abuse,https://www.citizen-times.com/story/news/local/2020/04/11/coronavirus-nc-asheville-chef-j-chong-racism-trends-zoombombing/5125276002/
3/26/2020,Washington,Seattle,chinese,,vandalism,https://www.nbcnews.com/news/asian-america/smashed-windows-racist-graffiti-vandals-target-asian-americans-amid-coronavirus-n1180556
3/25/2020,Indiana,South Bend,chinese,female,verbal abuse,https://ndsmcobserver.com/2020/03/nd-postdoctoral-student-removed-from-program-after-posting-racist-comments/
3/25/2020,Minnesota,Woodbury,chinese,female,verbal abuse,https://www.facebook.com/permalink.php?story_fbid=2319205351705755&id=100008489380349
3/24/2020,New York,Brooklyn,chinese,male,physical (no harm),https://www.nydailynews.com/coronavirus/ny-coronavirus-hate-crime-brooklyn-subway-spit-20200325-h4w4nzb74fbadpx6li4f7xdoc4-story.html
3/24/2020,Wisconsin,Madison,chinese,,vandalism,https://www.jsonline.com/story/news/education/2020/03/25/uw-madison-condemns-racist-chalk-messages-blaming-coronavirus-china/2913828001/
3/24/2020,California,San Francisco,filipino,male,verbal abuse,https://twitter.com/TheRNKyle/status/1242598596836339712?s=20
3/21/2020,California,Huntington Beach,asian,male,verbal abuse,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/21/2020,California,Huntington Beach,asian,female,verbal abuse,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
