date,country,confirmed,deaths,recovered
2020-1-22,Canada,0,0,0
2020-1-23,Canada,0,0,0
2020-1-24,Canada,0,0,0
2020-1-25,Canada,0,0,0
2020-1-26,Canada,1,0,0
2020-1-27,Canada,1,0,0
2020-1-28,Canada,2,0,0
2020-1-29,Canada,2,0,0
2020-1-30,Canada,2,0,0
2020-1-31,Canada,4,0,0
2020-2-1,Canada,4,0,0
2020-2-2,Canada,4,0,0
2020-2-3,Canada,4,0,0
2020-2-4,Canada,4,0,0
2020-2-5,Canada,5,0,0
2020-2-6,Canada,5,0,0
2020-2-7,Canada,7,0,0
2020-2-8,Canada,7,0,0
2020-2-9,Canada,7,0,0
2020-2-10,Canada,7,0,0
2020-2-11,Canada,7,0,0
2020-2-12,Canada,7,0,1
2020-2-13,Canada,7,0,1
2020-2-14,Canada,7,0,1
2020-2-15,Canada,7,0,1
2020-2-16,Canada,7,0,1
2020-2-17,Canada,8,0,1
2020-2-18,Canada,8,0,1
2020-2-19,Canada,8,0,1
2020-2-20,Canada,8,0,1
2020-2-21,Canada,9,0,3
2020-2-22,Canada,9,0,3
2020-2-23,Canada,9,0,3
2020-2-24,Canada,10,0,3
2020-2-25,Canada,11,0,3
2020-2-26,Canada,11,0,3
2020-2-27,Canada,13,0,6
2020-2-28,Canada,14,0,6
2020-2-29,Canada,20,0,6
2020-3-1,Canada,24,0,6
2020-3-2,Canada,27,0,6
2020-3-3,Canada,30,0,6
2020-3-4,Canada,33,0,6
2020-3-5,Canada,37,0,6
2020-3-6,Canada,49,0,6
2020-3-7,Canada,54,0,8
2020-3-8,Canada,64,0,8
2020-3-9,Canada,77,1,8
2020-3-10,Canada,79,1,8
2020-3-11,Canada,108,1,8
2020-3-12,Canada,117,1,8
2020-3-13,Canada,193,1,8
2020-3-14,Canada,198,1,8
2020-3-15,Canada,252,1,8
2020-3-16,Canada,415,4,9
2020-3-17,Canada,478,5,9
2020-3-18,Canada,657,8,9
2020-3-19,Canada,800,9,9
2020-3-20,Canada,943,12,9
2020-3-21,Canada,1277,19,10
2020-3-22,Canada,1469,21,10
2020-3-23,Canada,2088,25,10
2020-3-24,Canada,2790,26,110
2020-3-25,Canada,3251,30,183
2020-3-26,Canada,4042,38,184
2020-1-22,Lithuania,0,0,0
2020-1-23,Lithuania,0,0,0
2020-1-24,Lithuania,0,0,0
2020-1-25,Lithuania,0,0,0
2020-1-26,Lithuania,0,0,0
2020-1-27,Lithuania,0,0,0
2020-1-28,Lithuania,0,0,0
2020-1-29,Lithuania,0,0,0
2020-1-30,Lithuania,0,0,0
2020-1-31,Lithuania,0,0,0
2020-2-1,Lithuania,0,0,0
2020-2-2,Lithuania,0,0,0
2020-2-3,Lithuania,0,0,0
2020-2-4,Lithuania,0,0,0
2020-2-5,Lithuania,0,0,0
2020-2-6,Lithuania,0,0,0
2020-2-7,Lithuania,0,0,0
2020-2-8,Lithuania,0,0,0
2020-2-9,Lithuania,0,0,0
2020-2-10,Lithuania,0,0,0
2020-2-11,Lithuania,0,0,0
2020-2-12,Lithuania,0,0,0
2020-2-13,Lithuania,0,0,0
2020-2-14,Lithuania,0,0,0
2020-2-15,Lithuania,0,0,0
2020-2-16,Lithuania,0,0,0
2020-2-17,Lithuania,0,0,0
2020-2-18,Lithuania,0,0,0
2020-2-19,Lithuania,0,0,0
2020-2-20,Lithuania,0,0,0
2020-2-21,Lithuania,0,0,0
2020-2-22,Lithuania,0,0,0
2020-2-23,Lithuania,0,0,0
2020-2-24,Lithuania,0,0,0
2020-2-25,Lithuania,0,0,0
